EVENT_TYPE,TIMESTAMP,REQUEST_ID,ORGANIZATION_ID,USER_ID,RUN_TIME,CPU_TIME,URI,SESSION_KEY,LOGIN_KEY,REQUEST_STATUS,DB_TOTAL_TIME,API_TYPE,API_VERSION,CLIENT_NAME,METHOD_NAME,ENTITY_NAME,ROWS_PROCESSED,REQUEST_SIZE,RESPONSE_SIZE,DB_BLOCKS,DB_CPU_TIME,TIMESTAMP_DERIVED,USER_ID_DERIVED,CLIENT_IP,URI_ID_DERIVED
API,20210520144053.551,SLB:a208965c96bea87924502b67738c2cd0,00D300000000FHi,0052T00000CDVeQ,16,9,Api,9D5DdQc6cl74Mu9M,elK4tHP6Yc2f4EpC,"",5944655,P,12.0,"","","","",714,676,"","",2021-05-20T14:40:53.551Z,0052T00000CDVeQQAX,107.152.24.182,""
API,20210520144053.838,SLB:ff208c1d2e8f66d9b184d6b936cef1e3,00D300000000FHi,0052T00000CDVeQ,17,10,Api,9D5DdQc6cl74Mu9M,elK4tHP6Yc2f4EpC,"",9971340,P,12.0,"","","","",714,676,6,0,2021-05-20T14:40:53.838Z,0052T00000CDVeQQAX,107.152.25.184,""
API,20210520144114.520,SLB:6da6e9f0a9fac73593250a72a65a4654,00D300000000FHi,0052T00000CDVeQ,617,13,Api,9D5DdQc6cl74Mu9M,elK4tHP6Yc2f4EpC,"",37938522,P,12.0,"","","","",714,676,6,0,2021-05-20T14:41:14.520Z,0052T00000CDVeQQAX,107.152.24.187,""
API,20210520144114.869,SLB:2c90cbb2bb73343f61db9380b7d07478,00D300000000FHi,0052T00000CDVeQ,18,11,Api,9D5DdQc6cl74Mu9M,elK4tHP6Yc2f4EpC,"",8688083,P,12.0,"","","","",714,676,3,0,2021-05-20T14:41:14.869Z,0052T00000CDVeQQAX,107.152.24.153,""
API,20210520144133.379,SLB:3f89ae0d9ad812b6b1ca4df896623c46,00D300000000FHi,0052T00000CDVeQ,17,11,Api,9D5DdQc6cl74Mu9M,elK4tHP6Yc2f4EpC,"",9141553,P,12.0,"","","","",714,676,6,0,2021-05-20T14:41:33.379Z,0052T00000CDVeQQAX,107.152.25.184,""
API,20210520144133.602,SLB:23a00847915131236c6a205dfcb7b73f,00D300000000FHi,0052T00000CDVeQ,14,8,Api,9D5DdQc6cl74Mu9M,elK4tHP6Yc2f4EpC,"",7763196,P,12.0,"","","","",714,676,6,0,2021-05-20T14:41:33.602Z,0052T00000CDVeQQAX,107.152.25.151,""
API,20210520145704.562,SLB:a780f8b717de1b941acf5a3938ec5287,00D300000000FHi,0052T00000CDVeQ,14,11,Api,9D5DdQc6cl74Mu9M,elK4tHP6Yc2f4EpC,"",4203234,P,12.0,"","","","",714,676,"","",2021-05-20T14:57:04.562Z,0052T00000CDVeQQAX,107.152.24.147,""
API,20210520145704.918,SLB:a5d617cb9117c189a1465cdefb81f6ab,00D300000000FHi,0052T00000CDVeQ,38,28,Api,9D5DdQc6cl74Mu9M,elK4tHP6Yc2f4EpC,"",13541226,P,12.0,"","","","",714,676,3,0,2021-05-20T14:57:04.918Z,0052T00000CDVeQQAX,107.152.24.187,""
API,20210520145901.992,SLB:a87e601076a35733d818d44b37c1b1c9,00D300000000FHi,0052T00000CDVeQ,10,7,Api,9D5DdQc6cl74Mu9M,elK4tHP6Yc2f4EpC,"",3856781,P,12.0,"","","","",714,676,"","",2021-05-20T14:59:01.992Z,0052T00000CDVeQQAX,107.152.25.151,""
API,20210520145902.311,SLB:dabe572ee6303916e0985ff8f1c3fb9a,00D300000000FHi,0052T00000CDVeQ,16,9,Api,9D5DdQc6cl74Mu9M,elK4tHP6Yc2f4EpC,"",8888429,P,12.0,"","","","",714,676,6,0,2021-05-20T14:59:02.311Z,0052T00000CDVeQQAX,107.152.24.147,""
